Date,GBP
23 Feb 2021,0.7108
22 Feb 2021,0.7132
19 Feb 2021,0.7126
18 Feb 2021,0.7162
17 Feb 2021,0.7211
16 Feb 2021,0.7192
15 Feb 2021,0.7191
12 Feb 2021,0.7248
11 Feb 2021,0.7224
10 Feb 2021,0.7228
09 Feb 2021,0.7256
08 Feb 2021,0.7304
05 Feb 2021,0.7305
04 Feb 2021,0.731
03 Feb 2021,0.7335
02 Feb 2021,0.7313
01 Feb 2021,0.7299
29 Jan 2021,0.7283
28 Jan 2021,0.7328
27 Jan 2021,0.7297
26 Jan 2021,0.7304
25 Jan 2021,0.7307
22 Jan 2021,0.7324
21 Jan 2021,0.7289
20 Jan 2021,0.7319
19 Jan 2021,0.7344
18 Jan 2021,0.7383
15 Jan 2021,0.7341
14 Jan 2021,0.7336
13 Jan 2021,0.7314
12 Jan 2021,0.7355
11 Jan 2021,0.7419
08 Jan 2021,0.7357
07 Jan 2021,0.7347
06 Jan 2021,0.7346
05 Jan 2021,0.7362
04 Jan 2021,0.7332
01 Jan 2021,0.7326
31 Dec 2020,0.7326
30 Dec 2020,0.7353
29 Dec 2020,0.7412
28 Dec 2020,0.7399
25 Dec 2020,0.7364
24 Dec 2020,0.7364
23 Dec 2020,0.7455
22 Dec 2020,0.7447
21 Dec 2020,0.7526
18 Dec 2020,0.7409
17 Dec 2020,0.7353
16 Dec 2020,0.738
15 Dec 2020,0.7479
14 Dec 2020,0.7458
11 Dec 2020,0.7611
10 Dec 2020,0.752
09 Dec 2020,0.7432
08 Dec 2020,0.7524
07 Dec 2020,0.7521
04 Dec 2020,0.7425
03 Dec 2020,0.7436
02 Dec 2020,0.75
01 Dec 2020,0.7503
30 Nov 2020,0.75
27 Nov 2020,0.7502
26 Nov 2020,0.749
25 Nov 2020,0.7496
24 Nov 2020,0.7502
23 Nov 2020,0.7469
20 Nov 2020,0.7535
19 Nov 2020,0.7554
18 Nov 2020,0.7531
17 Nov 2020,0.754
16 Nov 2020,0.7592
13 Nov 2020,0.7591
12 Nov 2020,0.7613
11 Nov 2020,0.7559
10 Nov 2020,0.7553
09 Nov 2020,0.7593
06 Nov 2020,0.7618
05 Nov 2020,0.763
04 Nov 2020,0.7675
03 Nov 2020,0.7695
02 Nov 2020,0.7729
30 Oct 2020,0.7711
29 Oct 2020,0.7726
28 Oct 2020,0.7731
27 Oct 2020,0.7667
26 Oct 2020,0.7679
23 Oct 2020,0.7648
22 Oct 2020,0.7637
21 Oct 2020,0.7657
20 Oct 2020,0.7733
19 Oct 2020,0.7687
16 Oct 2020,0.7743
15 Oct 2020,0.7739
14 Oct 2020,0.7693
13 Oct 2020,0.7686
12 Oct 2020,0.7678
09 Oct 2020,0.7729
08 Oct 2020,0.7738
07 Oct 2020,0.7767
06 Oct 2020,0.772
05 Oct 2020,0.7717
02 Oct 2020,0.773
01 Oct 2020,0.772
30 Sep 2020,0.7793
29 Sep 2020,0.7773
28 Sep 2020,0.7756
25 Sep 2020,0.7851
24 Sep 2020,0.7834
23 Sep 2020,0.7859
22 Sep 2020,0.7815
21 Sep 2020,0.7772
18 Sep 2020,0.7717
17 Sep 2020,0.7759
16 Sep 2020,0.7703
15 Sep 2020,0.7744
14 Sep 2020,0.7763
11 Sep 2020,0.7796
10 Sep 2020,0.773
09 Sep 2020,0.7748
08 Sep 2020,0.7675
07 Sep 2020,0.7598
04 Sep 2020,0.7543
03 Sep 2020,0.7546
02 Sep 2020,0.749
01 Sep 2020,0.7423
31 Aug 2020,0.7505
28 Aug 2020,0.7509
27 Aug 2020,0.7581
26 Aug 2020,0.7608
25 Aug 2020,0.7613
24 Aug 2020,0.7612
21 Aug 2020,0.7626
20 Aug 2020,0.761
19 Aug 2020,0.7571
18 Aug 2020,0.7591
17 Aug 2020,0.7646
14 Aug 2020,0.7633
13 Aug 2020,0.7637
12 Aug 2020,0.7686
11 Aug 2020,0.7625
10 Aug 2020,0.7664
07 Aug 2020,0.7648
06 Aug 2020,0.7602
05 Aug 2020,0.7615
04 Aug 2020,0.7678
03 Aug 2020,0.7676
31 Jul 2020,0.7601
30 Jul 2020,0.7687
29 Jul 2020,0.7709
28 Jul 2020,0.7764
27 Jul 2020,0.7767
24 Jul 2020,0.7838
23 Jul 2020,0.7883
22 Jul 2020,0.787
21 Jul 2020,0.787
20 Jul 2020,0.7912
17 Jul 2020,0.797
16 Jul 2020,0.7962
15 Jul 2020,0.7912
14 Jul 2020,0.798
13 Jul 2020,0.7939
10 Jul 2020,0.7943
09 Jul 2020,0.7905
08 Jul 2020,0.7968
07 Jul 2020,0.7985
06 Jul 2020,0.7992
03 Jul 2020,0.8029
02 Jul 2020,0.7994
01 Jul 2020,0.8074
30 Jun 2020,0.8148
29 Jun 2020,0.8112
26 Jun 2020,0.8078
25 Jun 2020,0.8048
24 Jun 2020,0.8009
23 Jun 2020,0.8008
22 Jun 2020,0.8056
19 Jun 2020,0.8074
18 Jun 2020,0.8022
17 Jun 2020,0.7964
16 Jun 2020,0.7903
15 Jun 2020,0.7967
12 Jun 2020,0.7931
11 Jun 2020,0.7901
10 Jun 2020,0.7821
09 Jun 2020,0.7891
08 Jun 2020,0.7902
05 Jun 2020,0.7895
04 Jun 2020,0.7972
03 Jun 2020,0.7956
02 Jun 2020,0.7972
01 Jun 2020,0.8067
29 May 2020,0.809
28 May 2020,0.8145
27 May 2020,0.8152
26 May 2020,0.8098
25 May 2020,0.8205
22 May 2020,0.8214
21 May 2020,0.8177
20 May 2020,0.8155
19 May 2020,0.8177
18 May 2020,0.8231
15 May 2020,0.8218
14 May 2020,0.82
13 May 2020,0.8114
12 May 2020,0.8084
11 May 2020,0.8119
08 May 2020,0.8073
07 May 2020,0.8113
06 May 2020,0.8074
05 May 2020,0.8029
04 May 2020,0.8033
01 May 2020,0.7991
30 Apr 2020,0.7991
29 Apr 2020,0.8059
28 Apr 2020,0.8006
27 Apr 2020,0.8041
24 Apr 2020,0.8102
23 Apr 2020,0.8095
22 Apr 2020,0.8091
21 Apr 2020,0.8131
20 Apr 2020,0.8043
17 Apr 2020,0.8009
16 Apr 2020,0.8005
15 Apr 2020,0.8015
14 Apr 2020,0.7959
13 Apr 2020,0.8058
10 Apr 2020,0.8058
09 Apr 2020,0.8058
08 Apr 2020,0.809
07 Apr 2020,0.8093
06 Apr 2020,0.8136
03 Apr 2020,0.8146
02 Apr 2020,0.8045
01 Apr 2020,0.8089
31 Mar 2020,0.8091
30 Mar 2020,0.8057
27 Mar 2020,0.8176
26 Mar 2020,0.8319
25 Mar 2020,0.8451
24 Mar 2020,0.8494
23 Mar 2020,0.8622
20 Mar 2020,0.8502
19 Mar 2020,0.8609
18 Mar 2020,0.8431
17 Mar 2020,0.827
16 Mar 2020,0.8149
13 Mar 2020,0.8021
12 Mar 2020,0.7885
11 Mar 2020,0.7736
10 Mar 2020,0.7672
09 Mar 2020,0.7628
06 Mar 2020,0.7689
05 Mar 2020,0.7747
04 Mar 2020,0.7807
03 Mar 2020,0.7827
02 Mar 2020,0.7832
28 Feb 2020,0.7772
27 Feb 2020,0.7752
26 Feb 2020,0.7738
25 Feb 2020,0.7715
24 Feb 2020,0.7749
21 Feb 2020,0.7732
20 Feb 2020,0.777
19 Feb 2020,0.7699
18 Feb 2020,0.7672
17 Feb 2020,0.7682
14 Feb 2020,0.7675
13 Feb 2020,0.7672
12 Feb 2020,0.7702
11 Feb 2020,0.7736
10 Feb 2020,0.7728
07 Feb 2020,0.7724
06 Feb 2020,0.771
05 Feb 2020,0.7661
04 Feb 2020,0.7683
03 Feb 2020,0.7661
31 Jan 2020,0.7616
30 Jan 2020,0.7633
29 Jan 2020,0.7688
28 Jan 2020,0.7688
27 Jan 2020,0.7652
24 Jan 2020,0.7641
23 Jan 2020,0.7619
22 Jan 2020,0.7616
21 Jan 2020,0.765
20 Jan 2020,0.7693
17 Jan 2020,0.7662
16 Jan 2020,0.7652
15 Jan 2020,0.769
14 Jan 2020,0.7703
13 Jan 2020,0.7708
10 Jan 2020,0.7647
09 Jan 2020,0.7676
08 Jan 2020,0.7635
07 Jan 2020,0.7625
06 Jan 2020,0.7613
03 Jan 2020,0.7636
02 Jan 2020,0.7579
01 Jan 2020,0.7573
