"date","daily_vaccinations_United Kingdom","daily_vaccinations_Israel","daily_vaccinations_United States","daily_vaccinations_France","cumulative_vaccinations_percent_of_population_United Kingdom","cumulative_vaccinations_percent_of_population_Israel","cumulative_vaccinations_percent_of_population_United States","cumulative_vaccinations_percent_of_population_France"
"2020-12-13",0,0,0,0,0,0,0,0
"2020-12-14",84117,0,0,0,0.126512673353699,0,0,0
"2020-12-15",84117,0,0,0,0.253025346707397,0,0,0
"2020-12-16",84117,0,0,0,0.379538020061096,0,0,0
"2020-12-17",84117,0,0,0,0.506050693414794,0,0,0
"2020-12-18",84117,0,0,0,0.632563366768493,0,0,0
"2020-12-19",84117,0,0,0,0.759076040122191,0,0,0
"2020-12-20",84117,7372,0,0,0.88558871347589,0.0829825074855355,0,0
"2020-12-21",78831,16122,57909,0,1.00415119850443,0.264458902721808,0.0177001113136462,0
"2020-12-22",73544,25618,127432,0,1.11476199119942,0.552826493167338,0.0566501982590358,0
"2020-12-23",68258,34916,150606,0,1.21742259556924,0.94585650284788,0.102683508530375,0
"2020-12-24",62972,42592,191001,0,1.31213301161391,1.42529097908553,0.161063707826128,0
"2020-12-25",57685,41899,215238,0,1.39889173532503,1.89692473941331,0.226852040536528,0
"2020-12-26",52399,40564,231396,0,1.47770027071098,2.35353114658142,0.297579128856694,0
"2020-12-27",47112,54408,211379,0,1.54855711376339,2.96597176883766,0.362187943192414,0
"2020-12-28",48491,70100,216147,39,1.62148798437925,3.755048515275,0.428254115291927,5.82200396242604e-05
"2020-12-29",49870,85988,235685,62,1.69649288255856,4.72296764897904,0.500292153160941,0.000150774974411546
"2020-12-30",51249,98814,255223,75,1.77357180830132,5.8352619374592,0.578302056799455,0.000262736589073585
"2020-12-31",52629,110915,278776,76,1.85272626561591,7.08377045858754,0.663511026589523,0.000376191025264452
"2021-01-01",54008,115590,302329,62,1.93395475049396,8.38490285688557,0.755919062531144,0.000468745960051738
"2021-01-02",55387,121161,325882,59,2.01725726293545,9.74874490645895,0.855526164624319,0.000556822430252542
"2021-01-03",56766,127586,336949,61,2.1026338029404,11.1849096107522,0.958515938355894,0.000647884543511
"2021-01-04",74688,130012,348017,250,2.21496518122827,12.648382448952,1.06488868937976,0.0010210899257178
"2021-01-05",92610,125564,339372,944,2.35425139779907,14.0617866228416,1.16861906249508,0.00243031344893067
"2021-01-06",110532,118467,358887,2404,2.5204924526528,15.395303811432,1.27831427134034,0.00601905640423123
"2021-01-07",128454,112415,378253,6138,2.71368834578946,16.6606969990319,1.39392877348544,0.0151819949481725
"2021-01-08",146376,111707,419933,10814,2.93383907720904,17.9181206240573,1.52228292990799,0.0313253669609098
"2021-01-09",164298,107832,461263,12278,3.18094464691155,19.1319255273644,1.6632697617453,0.04965422969185
"2021-01-10",182220,92721,546636,13027,3.45500505489698,20.1756343006371,1.83035118342494,0.0691012157478818
"2021-01-11",179880,76793,632009,17659,3.72554608326061,21.0400504288705,2.02352719494692,0.0954629511254411
"2021-01-12",185810,67473,641524,24625,4.00500588134959,21.799556496094,2.21961150326472,0.132223681272811
