"Name","Platform","Year","Genre","Publisher","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales"
"Armored Core 4","PS3","2006","Simulation","505 Games",0.09,0,0.09,0.01,0.2
"Blazing Angels: Squadrons of WWII","PS3","2006","Simulation","Ubisoft",0.35,0.22,0,0.1,0.67
"Call of Duty 3","PS3","2006","Shooter","Activision",0.6,0.63,0.03,0.26,1.52
"Fight Night Round 3","PS3","2006","Fighting","Electronic Arts",0.81,0.59,0.01,0.26,1.67
"Formula 1: Championship Edition","PS3","2006","Racing","Sony Computer Entertainment",0,0.57,0.04,0,0.61
"Full Auto 2: Battlelines","PS3","2006","Racing","Sega",0.14,0.02,0,0.02,0.18
"Genji: Days of the Blade","PS3","2006","Action","Sony Computer Entertainment",0.18,0.38,0.06,0.14,0.76
"Madden NFL 07","PS3","2006","Sports","Electronic Arts",0.47,0,0.01,0.04,0.52
"Mahjong Kakutou Club: Zenkoku Taisenban","PS3","2006","Misc","Konami Digital Entertainment",0,0,0.03,0,0.03
"Mahjong Taikai IV","PS3","2006","Misc","Tecmo Koei",0,0,0.01,0,0.01
"Marvel: Ultimate Alliance","PS3","2006","Role-Playing","Activision",0.33,0.02,0,0.04,0.39
"Mobile Suit Gundam: Crossfire","PS3","2006","Simulation","Namco Bandai Games",0.06,0,0.14,0.01,0.2
"MotorStorm","PS3","2006","Racing","Sony Computer Entertainment",1.53,1.61,0.06,0.67,3.88
"NBA 07","PS3","2006","Sports","Sony Computer Entertainment",0.24,0,0.01,0.02,0.26
"NBA 2K7","PS3","2006","Sports","Take-Two Interactive",0.3,0.04,0,0.04,0.38
"Need for Speed Carbon","PS3","2006","Racing","Electronic Arts",0.49,0.52,0.03,0.21,1.26
"NHL 2K7","PS3","2006","Sports","Take-Two Interactive",0.11,0,0,0.01,0.12
"Railfan","PS3","2006","Simulation","Ongakukan",0,0,0.01,0,0.01
"Resident Evil","PS3","2006","Action","Capcom",0,0,0.12,0,0.12
"Resident Evil Director's Cut","PS3","2006","Action","Capcom",0,0,0.04,0,0.04
"Resistance: Fall of Man","PS3","2006","Shooter","Sony Computer Entertainment",1.73,1.73,0.14,0.75,4.35
"Ridge Racer 7","PS3","2006","Racing","Namco Bandai Games",0.24,0.7,0.16,0.26,1.37
"Sega Golf Club: Miyazato San Kyoudai Naizou","PS3","2006","Sports","Sega",0,0,0.01,0,0.01
"Sonic the Hedgehog","PS3","2006","Platform","Sega",0.41,0.07,0.04,0.66,1.18
"Tiger Woods PGA Tour 07","PS3","2006","Sports","Electronic Arts",0.31,0.12,0,0.07,0.5
"Tony Hawk's Project 8","PS3","2006","Sports","Activision",0.3,0.23,0.01,0.1,0.63
"Untold Legends: Dark Kingdom","PS3","2006","Role-Playing","Electronic Arts",0.14,0.02,0.02,0.02,0.2
"All-Pro Football 2K8","PS3","2007","Sports","Take-Two Interactive",0.14,0,0,0.01,0.15
"Assassin's Creed","PS3","2007","Adventure","Ubisoft",1.91,2,0.09,0.83,4.83
"Beowulf: The Game","PS3","2007","Action","Ubisoft",0.14,0.01,0,0.01,0.16
"Blacksite: Area 51","PS3","2007","Shooter","Midway Games",0.07,0.01,0,0.01,0.09
"Bladestorm: The Hundred Years' War","PS3","2007","Action","Tecmo Koei",0.1,0.03,0.14,0.02,0.29
"Blazing Angels 2: Secret Missions of WWII","PS3","2007","Simulation","Ubisoft",0.1,0.03,0,0.02,0.15
"Boku no Natsuyasumi 3: Hokkoku Hen: Chiisana Boku no Dai Sougen​","PS3","2007","Adventure","Sony Computer Entertainment",0,0,0.08,0,0.08
"Call of Duty 4: Modern Warfare","PS3","2007","Shooter","Activision",3.1,2.3,0.28,1.04,6.72
"Cars: Mater-National Championship","PS3","2007","Racing","THQ",0.37,0.01,0,0.03,0.41
"Clive Barker's Jericho","PS3","2007","Shooter","Codemasters",0.17,0.01,0,0.02,0.2
"College Hoops 2K7","PS3","2007","Sports","Take-Two Interactive",0.16,0,0,0.01,0.18
"College Hoops 2K8","PS3","2007","Sports","Take-Two Interactive",0.13,0,0,0.01,0.14
